selection_rank	paper_id	doi	year	journal	title	species	tissue	figure_count	panel_count	tools_observed	skill_tags	digest_path
93	S0094	10.1038/s41467-025-58511-0	2025	Nat Commun	Spatially resolved atlas of breast cancer uncovers intercellular machinery of venular niche governing lymphocyte extravasation.		cancer	7	7	RCTD/spacexr:2;CellChat:2;SAW:1;Seurat:1;GSEA:1;Harmony:1	cell_type_mapping:6;publication_plotting:6;quality_control_preprocessing:6;spatial_cell_type_interpretation:5;spatial_domain:4;spatial_programs:4;cell_cell_interaction:2;spatial_communication:2;developmental_trajectory:1	paper_digests/papers/S0094.md
94	S0095	10.1038/s41467-025-58614-8	2025	Nat Commun	Single-nucleus and spatial transcriptomics identify brain landscape of gene regulatory networks associated with behavioral maturation in honeybees.		brain	7	11	Seurat:4;Tangram:3;pySCENIC:2;SAW:1	spatial_domain:8;cell_type_mapping:6;publication_plotting:4;spatial_programs:4;quality_control_preprocessing:3;spatial_grn_regulon:2;spatial_cell_type_interpretation:1	paper_digests/papers/S0095.md
95	S0096	10.1038/s41467-025-59070-0	2025	Nat Commun	An organ-wide spatiotemporal transcriptomic and cellular atlas of the regenerating zebrafish heart.	zebrafish	heart	5	5	Seurat:1;AnnData:1;RCTD/spacexr:1;CellChat:1;scVelo:1;GSEA:1;Harmony:1	publication_plotting:4;spatial_domain:4;cell_type_mapping:3;developmental_trajectory:3;spatial_programs:2;cell_cell_interaction:1;spatial_communication:1;spatial_grn_regulon:1;3d_reconstruction:1	paper_digests/papers/S0096.md
96	S0097	10.1038/s41467-025-62793-9	2025	Nat Commun	Charting the spatial transcriptome of the human cerebral cortex at single-cell resolution.	human	cortex	8	9	RCTD/spacexr:2;SAW:1;Stereopy:1;Seurat:1;Scanpy:1;CellChat:1;Harmony:1	spatial_domain:9;publication_plotting:8;quality_control_preprocessing:7;spatial_programs:7;cell_type_mapping:5;spatial_cell_type_interpretation:3;cell_cell_interaction:1;spatial_communication:1	paper_digests/papers/S0097.md
97	S0098	10.1038/s41467-025-64292-3	2025	Nat Commun	Systematic benchmarking of high-throughput subcellular spatial transcriptomics platforms across human tumors.	human	tumor	6	7	SAW:1;Seurat:1;Scanpy:1;Tangram:1;CellPhoneDB:1;OpenCV:1;SimpleITK:1	quality_control_preprocessing:6;spatial_domain:6;spatial_cell_type_interpretation:3;cell_type_mapping:2;developmental_trajectory:1;3d_reconstruction:1;publication_plotting:1	paper_digests/papers/S0098.md
98	S0099	10.1038/s41477-023-01387-z	2023	Nat Plants	Integrated single-nucleus and spatial transcriptomics captures transitional states in soybean nodule maturation.	soybean	nodule	0	0			paper_digests/papers/S0099.md
99	S0100	10.1038/s41477-024-01683-2	2024	Nat Plants	A spatial transcriptome map of the developing maize ear.	maize		0	0			paper_digests/papers/S0100.md
100	S0101	10.1038/s41477-025-01950-w	2025	Nat Plants	Developmental innovation of inferior ovaries and flower sex orchestrated by KNOX1 in cucurbits.			0	0			paper_digests/papers/S0101.md
101	S0102	10.1038/s41556-023-01108-w	2023	Nat Cell Biol	A single-cell transcriptome atlas profiles early organogenesis in human embryos.	human	embryo	0	0			paper_digests/papers/S0102.md
102	S0103	10.1038/s41556-024-01597-3	2025	Nat Cell Biol	Spatial transcriptomic characterization of a Carnegie stage 7 human embryo.	human	embryo	0	0			paper_digests/papers/S0103.md
103	S0104	10.1038/s41586-022-05242-7	2022	Nature	A cellular hierarchy in melanoma uncouples growth and metastasis.			0	0			paper_digests/papers/S0104.md
104	S0105	10.1038/s41586-024-07563-1	2024	Nature	Multiscale topology classifies cells in subcellular spatial transcriptomics.			11	16	RCTD/spacexr:2;Seurat:1;SPOTlight:1;cell2location:1;Tangram:1;Harmony:1	spatial_domain:9;cell_type_mapping:6;quality_control_preprocessing:4;publication_plotting:4;cell_cell_interaction:1;spatial_communication:1;spatial_programs:1	paper_digests/papers/S0105.md
105	S0106	10.1038/s41586-025-08757-x	2025	Nature	Spatially resolved mapping of cells associated with human complex traits.	human		15	18	Seurat:1;Scanpy:1;AnnData:1;SpaGCN:1	spatial_domain:13;cell_type_mapping:7;publication_plotting:4;spatial_programs:4;quality_control_preprocessing:3;spatial_cell_type_interpretation:1	paper_digests/papers/S0106.md
